Battle_ID,P1_Team,P2_Team,P1_Brought,P2_Brought
gen9championsvgc2026regma-2589234147,"Scizor,Pelipper,Maushold,Garchomp,Arcanine,Lucario","Aerodactyl,Garchomp,Sneasler,Zoroark-Hisui,Kingambit,Charizard","Lucario,Pelipper,Maushold","Sneasler,Charizard"
gen9championsvgc2026regma-2589232007,"Charizard,Whimsicott,Basculegion,Sneasler,Incineroar,Garchomp","Charizard,Farigiraf,Whimsicott,Venusaur,Garchomp,Sneasler","Whimsicott,Incineroar,Charizard,Garchomp","Sneasler,Garchomp,Charizard,Whimsicott"
gen9championsvgc2026regma-2589230740,"Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Tyranitar,Arcanine,Whimsicott,Rotom-Wash,Sneasler,Sylveon","Sneasler,Incineroar,Charizard,Whimsicott","Tyranitar,Arcanine,Sylveon,Whimsicott"
gen9championsvgc2026regma-2589233609,"Farigiraf,Basculegion,Sneasler,Torkoal,Golurk,Talonflame","Zoroark-Hisui,Passimian,Delphox,Tsareena,Aerodactyl,Rotom-Wash","Farigiraf,Talonflame,Torkoal","Delphox,Tsareena,Passimian"
gen9championsvgc2026regma-2589230275,"Floette-Eternal,Incineroar,Kommo-o,Aegislash,Rotom-Wash,Sneasler","Dragonite,Starmie,Pelipper,Basculegion,Incineroar,Sneasler","Sneasler,Aegislash,Floette-Eternal,Rotom-Wash","Sneasler,Basculegion,Pelipper,Dragonite"
gen9championsvgc2026regma-2589232063,"Floette-Eternal,Garchomp,Aerodactyl,Blastoise,Rotom-Heat,Sinistcha","Meganium,Aerodactyl,Milotic,Typhlosion-Hisui,Tinkaton,Lucario","Rotom-Heat,Aerodactyl,Floette-Eternal,Garchomp","Meganium,Aerodactyl,Tinkaton,Typhlosion-Hisui"
gen9championsvgc2026regma-2589230605,"Farigiraf,Aegislash,Scovillain,Sylveon,Kingambit,Milotic","Garchomp,Talonflame,Delphox,Corviknight,Gyarados,Decidueye-Hisui","Farigiraf,Kingambit,Scovillain,Milotic","Decidueye-Hisui,Talonflame,Corviknight,Gyarados"
gen9championsvgc2026regma-2589228646,"Tyranitar,Skarmory,Rotom-Wash,Garchomp,Sneasler,Sinistcha","Sinistcha,Talonflame,Feraligatr,Glimmora,Ninetales-Alola,Tinkaton","Sneasler,Tyranitar,Rotom-Wash,Skarmory","Ninetales-Alola,Talonflame,Sinistcha"
gen9championsvgc2026regma-2589229819,"Sharpedo,Araquanid,Pelipper,Meganium,Archaludon,Sneasler","Ampharos,Conkeldurr,Incineroar,Mimikyu,Azumarill,Hatterene","Sneasler,Meganium,Pelipper,Archaludon","Azumarill,Mimikyu,Conkeldurr,Ampharos,Mimikyu"
gen9championsvgc2026regma-2589229528,"Garchomp,Meganium,Pelipper,Basculegion,Archaludon,Gyarados","Pelipper,Archaludon,Feraligatr,Incineroar,Sneasler,Meganium","Archaludon,Pelipper,Meganium,Garchomp","Sneasler,Archaludon,Pelipper,Meganium"
gen9championsvgc2026regma-2589230184,"Aggron,Umbreon,Incineroar,Slowbro,Aerodactyl,Sinistcha","Sableye,Primarina,Maushold,Meganium,Aerodactyl,Archaludon","Incineroar,Sinistcha,Aggron,Umbreon","Primarina,Aerodactyl,Sableye,Archaludon"
gen9championsvgc2026regma-2589228458,"Floette-Eternal,Garchomp,Kingambit,Basculegion,Sneasler,Froslass","Corviknight,Whimsicott,Delphox,Blastoise,Meowscarada,Dragapult","Sneasler,Basculegion,Floette-Eternal,Kingambit","Delphox,Corviknight,Blastoise,Whimsicott"
gen9championsvgc2026regma-2589231801,"Aegislash,Garchomp,Whimsicott,Incineroar,Milotic,Floette-Eternal","Floette-Eternal,Sneasler,Sinistcha,Garchomp,Aegislash,Rotom-Wash","Garchomp,Floette-Eternal,Whimsicott","Sneasler,Aegislash,Rotom-Wash"
gen9championsvgc2026regma-2589230038,"Greninja,Dragonite,Pelipper,Sneasler,Kingambit,Sinistcha","Scovillain,Aerodactyl,Kingambit,Basculegion,Sneasler,Arcanine-Hisui","Sneasler,Greninja,Pelipper,Kingambit","Sneasler,Aerodactyl,Scovillain,Kingambit"
gen9championsvgc2026regma-2589226686,"Charizard,Sneasler,Basculegion,Garchomp,Incineroar,Venusaur","Farigiraf,Torkoal,Araquanid,Abomasnow,Kingambit,Oranguru","Sneasler,Incineroar,Charizard,Garchomp","Abomasnow,Araquanid,Oranguru"
gen9championsvgc2026regma-2589230368,"Corviknight,Garchomp,Audino,Skeledirge,Milotic,Meowscarada","Golurk,Farigiraf,Incineroar,Torkoal,Conkeldurr,Sinistcha","Milotic,Corviknight,Garchomp","Farigiraf,Golurk"
gen9championsvgc2026regma-2589224902,"Jolteon,Manectric,Garchomp,Aerodactyl,Rotom-Wash,Sinistcha","Charizard,Whimsicott,Garchomp,Sneasler,Maushold,Incineroar","Aerodactyl,Garchomp,Manectric,Rotom-Wash","Sneasler,Incineroar,Whimsicott,Garchomp"
gen9championsvgc2026regma-2589227327,"Aegislash,Talonflame,Incineroar,Garchomp,Floette-Eternal,Rotom-Wash","Kangaskhan,Primarina,Aegislash,Farigiraf,Volcarona,Ninetales-Alola","Talonflame,Incineroar,Floette-Eternal,Rotom-Wash","Ninetales-Alola,Farigiraf,Kangaskhan,Volcarona"
gen9championsvgc2026regma-2589226297,"Pelipper,Archaludon,Basculegion,Sinistcha,Rotom-Heat,Lucario","Basculegion,Pelipper,Archaludon,Incineroar,Venusaur,Farigiraf","Lucario,Sinistcha,Pelipper,Archaludon","Archaludon,Incineroar,Venusaur"
gen9championsvgc2026regma-2589222247,"Hatterene,Froslass,Meowstic,Diggersby,Slowking-Galar,Arcanine-Hisui","Starmie,Clefable,Incineroar,Ninetales-Alola,Volcarona,Oranguru","Hatterene,Diggersby,Meowstic,Arcanine-Hisui","Oranguru,Incineroar,Starmie,Clefable"
